Gene,Frequency,Median_Rank
CNKSR2,8,1218.5
MAPT,8,1221.5
DSC1,8,1222.5
DUSP19,8,1226.5
ARPC2,8,1228
AC005498.2,8,1235.5
RLN1,8,1242
YWHAB,8,1242.5
DDX21,8,1250.5
BX284668.6,8,1253
LINC02029,8,1258.5
AC073529.1,8,1262.5
HIST1H4B,8,1264.5
AC064801.1,8,1265.5
CSF3R,8,1284.5
TWISTNB,8,1287.5
ATP9A,8,1293.5
AL392046.1,8,1294
RNASE6,8,1302.5
AC104695.2,8,1306.5
AC008770.1,8,1328.5
EIF3K,8,1331
GYPC,8,1331
AC234772.2,8,1332.5
GOLGA7B,8,1340
AC092375.2,8,1345.5
TM4SF19,8,1355
DCHS1,8,1357.5
AKNA,8,1383.5
TRAV18,8,1384.5
BEX3,8,1388
MDS2,8,1396
TENM1,8,1398
FBLN7,8,1399
AC106779.1,8,1401.5
WIPF1,8,1405.5
PPP1R9A,8,1410
AC024575.1,8,1414.5
FAM153A,8,1416.5
VSIG1,8,1418
LINC02018,8,1418.5
RBM20,8,1419.5
CADM1,8,1423
AC005523.1,8,1439
LINGO3,8,1440
AC016355.1,8,1440.5
AL031283.1,8,1441.5
C1orf54,8,1449
TEPP,8,1449
H2AFJ,8,1451.5
ENTPD1,8,1452
ZNF492,8,1463.5
ANKRD34A,8,1465.5
AC027449.1,8,1469.5
ZBTB20-AS1,8,1471
CACYBP,8,1474.5
AC239868.2,8,1477.5
AL357055.3,8,1480.5
AC004918.1,8,1483.5
VASN,8,1485.5
SUGCT,8,1487.5
CTSK,8,1496.5
SGPP2,8,1498.5
GSTM2,8,1528
AC078795.2,8,1544.5
USP36,8,1546.5
EFHC2,8,1549.5
MEGF6,8,1570.5
CDKN1B,8,1573.5
LYAR,8,1578.5
AC023509.4,8,1605.5
CYP2D6,8,1606
NCAM1,8,1608
F2R,8,1612
PLEKHG1,8,1614
ARHGAP9,8,1620
MBP,8,1628.5
BLVRB,8,1630.5
CEBPB,8,1641.5
PAK6,8,1662.5
HIST1H3J,8,1669
MID1IP1,8,1674
PIM2,8,1682
LINC00299,8,1690.5
GPR35,8,1706
CNOT6L,8,1710.5
GIMAP1,8,1745.5
MARCH3,8,1770
C19orf73,8,1801.5
IGHV5-10-1,7,54
IGLV10-54,7,83
IGKV2D-40,7,95
IGLV3-27,7,137
IGHV3-64,7,157
TPSAB1,7,230
TRBV6-8,7,234
IGHV7-81,7,269
ZCCHC12,7,350
DIRAS3,7,474
HPGDS,7,478
FABP1,7,480
PTPRC,7,504
ACTG2,7,510
AC026471.3,7,538
NSUN7,7,538
CRYM,7,572
ADIRF,7,573
PSMD6-AS1,7,585
AC012358.3,7,587
PODN,7,593
HOXA5,7,600
UNC5B-AS1,7,604
CCNI,7,615
BICDL2,7,616
AC127002.1,7,621
SSR4,7,632
RNASE1,7,645
HOXA7,7,648
TPBGL,7,651
CXCL1,7,690
CUZD1,7,691
PSME2,7,693
UNC45B,7,706
LINC00384,7,712
TREX2,7,718
RBP7,7,729
WDR97,7,740
AC142472.1,7,743
PNPLA3,7,744
YWHAZ,7,748
AC129492.1,7,755
LINC01115,7,762
AL356019.2,7,767
AC021087.1,7,770
AL022323.4,7,781
SLC38A11,7,783
PTPRB,7,785
AP000911.1,7,787
AC232271.1,7,797
AKAP12,7,801
AC137723.1,7,803
VAV3-AS1,7,803
TRGV1,7,805
NCL,7,824
FZD7,7,825
AC027307.2,7,828
SERPINF1,7,828
GPR137C,7,834
PRR36,7,847
AIRE,7,850
ALDOB,7,851
AL133367.1,7,855
TAS2R14,7,859
LINC01765,7,862
AL359232.1,7,864
FHL2,7,879
PPIAL4G,7,884
RDH5,7,885
AL117381.1,7,889
AP001496.1,7,892
FOXD2,7,900
AC020656.2,7,902
AC010883.1,7,907
ASCL2,7,907
KRT2,7,913
AC005696.3,7,918
AL357054.2,7,918
GSTA1,7,919
SCNN1D,7,919
LINC01303,7,924
MBNL1,7,924
AC022239.1,7,927
MMP11,7,927
CYTL1,7,937
JAK1,7,939
ATP5MC2,7,940
LTBP2,7,958
AC040162.1,7,963
TRBJ1-1,7,963
CACNA1C-AS2,7,964
LINC02332,7,966
AC233976.1,7,968
KRT72,7,968
POLN,7,969
AC025034.1,7,977
MGAM,7,977
LRRC37A3,7,987
AL355297.4,7,991
AC090587.1,7,992
PIK3R2,7,995
PRDM16,7,995
LINC00158,7,998
ZNF442,7,998
PCBP1,7,1004
CHCHD2,7,1008
AC092123.1,7,1014
LINC01301,7,1015
MARC2,7,1018
AC008736.1,7,1025
SLC11A1,7,1028
CPE,7,1029
POPDC2,7,1032
AC018638.7,7,1034
AC005224.4,7,1035
PARD6G-AS1,7,1036
AC090198.1,7,1040
AC112491.1,7,1041
AC141424.1,7,1049
AKAP3,7,1049
SCGB3A1,7,1052
ACOXL,7,1057
HPN,7,1060
RBFOX2,7,1060
AFAP1,7,1062
TNNC1,7,1063
SLC10A1,7,1065
AC079313.2,7,1078
ZNF391,7,1078
FBXO15,7,1083
KLHL4,7,1084
PDE7B,7,1084
FAM111B,7,1087
TGM2,7,1097
BHLHB9,7,1099
IGIP,7,1102
SYP,7,1103
AL023803.1,7,1106
AC092295.2,7,1109
AP001269.4,7,1111
BX088651.4,7,1115
AMBP,7,1120
MYL9,7,1122
ARPC3,7,1123
AC091948.1,7,1124
AC010632.1,7,1127
VXN,7,1127
MGARP,7,1128
AL360270.3,7,1129
AC007728.1,7,1130
CIRBP,7,1130
ABCA10,7,1131
SKP1,7,1133
CPT1B,7,1137
LRRC2,7,1141
C2orf40,7,1142
EGOT,7,1143
ARRDC4,7,1147
SCARF2,7,1149
AC116337.3,7,1151
AL591895.1,7,1156
AC006480.2,7,1164
ASPM,7,1168
SLC6A8,7,1171
F2RL1,7,1176
CYB5RL,7,1177
PRELID3A,7,1177
PDGFB,7,1179
STON1,7,1181
AC069213.1,7,1186
CATSPERB,7,1186
GPM6A,7,1186
LDHAL6A,7,1187
BTF3,7,1188
TEAD2,7,1191
ITGB1-DT,7,1192
IFIT3,7,1194
BRDT,7,1196
AC010889.1,7,1198
GAPDH,7,1200
AC044839.1,7,1201
FRS3,7,1203
IFITM10,7,1205
SEC61B,7,1206
ATP6V1G2,7,1207
AC022364.1,7,1208
TUBB3,7,1209
COL4A3,7,1212
C9orf163,7,1214
CENPF,7,1216
FBXL13,7,1216
AC025171.5,7,1222
AC034102.5,7,1226
ACTN3,7,1226
CYP2F1,7,1228
SLC12A9-AS1,7,1228
GDPD1,7,1230
AC008063.1,7,1232
ARPC1B,7,1234
KCNQ1OT1,7,1236
AL158163.1,7,1238
PSMB9,7,1238
HEMGN,7,1239
IL7,7,1239
AL161729.1,7,1241
AP000442.2,7,1244
AL034550.2,7,1246
C9orf139,7,1246
NSMCE3,7,1247
ITGA10,7,1248
C4orf50,7,1250
HNRNPU,7,1251
HIST1H1B,7,1252
LRRC63,7,1263
AC092112.1,7,1264
HOXB3,7,1266
PIWIL4,7,1266
COL4A4,7,1273
LINC00469,7,1281
MYORG,7,1281
SRSF5,7,1281
SLC15A4,7,1282
LARGE2,7,1287
PRRT1,7,1289
TRBJ2-1,7,1291
AL451050.2,7,1293
ZNF229,7,1297
GUK1,7,1299
AL355388.2,7,1300
AL132639.3,7,1301
ERN1,7,1302
AP006284.1,7,1303
ME3,7,1304
CTF1,7,1305
AC093827.5,7,1307
STK33,7,1307
AC084346.2,7,1313
HIST1H4A,7,1315
SERPINB1,7,1316
AC092145.1,7,1323
NUDT11,7,1323
SH3BGR,7,1331
APOA1,7,1332
TVP23C-CDRT4,7,1333
AP003472.2,7,1338
LYPD3,7,1339
AC009118.3,7,1342
TSPAN9,7,1342
NPHP3-ACAD11,7,1348
ZNF860,7,1353
KALRN,7,1357
SLC45A1,7,1364
FCMR,7,1369
PPT2-EGFL8,7,1372
TMIGD2,7,1376
TUB,7,1376
AC016957.2,7,1381
HIST1H2BL,7,1382
CXCR1,7,1383
CCNB3,7,1384
GOLGA6L4,7,1386
WNT11,7,1395
CELSR1,7,1404
AL022328.3,7,1407
ERBB3,7,1413
THBS4,7,1420
ZBTB32,7,1431
ZNF239,7,1432
CARD16,7,1436
AC003991.2,7,1439
DSTN,7,1443
AL138966.2,7,1444
NEK10,7,1447
AL158152.2,7,1448
SMC5-AS1,7,1450
A2M-AS1,7,1456
AL121820.1,7,1460
BCL2L15,7,1461
CEND1,7,1462
TRBJ2-3,7,1466
UGT8,7,1467
ELOVL5,7,1470
AL358472.2,7,1474
TSC22D1,7,1475
GPR141,7,1478
OXT,7,1478
AL133410.2,7,1483
GPR150,7,1484
C18orf54,7,1490
RCSD1,7,1499
IL26,7,1516
AC002553.1,7,1517
C19orf44,7,1526
CAPS,7,1526
TRIM46,7,1529
FOLR2,7,1533
AP000766.1,7,1536
STXBP5-AS1,7,1536
AL354710.2,7,1538
TXN,7,1541
AC120193.1,7,1563
AC073335.2,7,1565
IQCG,7,1569
TLN2,7,1569
SGCE,7,1573
AC133644.2,7,1574
CSF1R,7,1588
CEP78,7,1594
AL390763.2,7,1595
LINC00334,7,1595
KLF10,7,1596
AC126755.2,7,1597
CLU,7,1597
IL27RA,7,1598
AF131216.4,7,1602
ZFYVE9,7,1610
DBI,7,1614
SEC24B-AS1,7,1618
LRFN3,7,1620
WARS,7,1623
AK1,7,1626
GCSAM,7,1630
SPEG,7,1642
SPATA21,7,1645
OVCH1-AS1,7,1651
FCGBP,7,1660
FAM131B,7,1670
MT1F,7,1676
APP,7,1684
ACSM3,7,1697
APMAP,7,1699
ITK,7,1702
KCNJ14,7,1702
PECAM1,7,1727
ANXA2,7,1731
MCTP2,7,1732
AC117382.2,7,1739
LINC02273,7,1742
AC010331.1,7,1746
ARHGEF28,7,1757
MGAT4A,7,1760
TOX,7,1813
BACE2,7,1816
TMEM256-PLSCR3,7,1823
PRR7,7,1856
FAS,7,1860
GPR174,7,1869
PYGM,7,1888
AC233755.1,6,29.5
CGA,6,113.5
IGKV1D-43,6,133.5
IGKV1D-13,6,171
IGLV2-18,6,228.5
TIMP3,6,251.5
PPP1R2C,6,255
IGKV1D-12,6,263.5
CCL19,6,288
IGKV1-37,6,292.5
UBC,6,314
AL365226.2,6,319
IGKV1D-16,6,354.5
IGLC7,6,367.5
AC083973.1,6,413.5
CDC20B,6,434.5
ZNF365,6,510
NNAT,6,573.5
CLEC1B,6,581
AC096711.3,6,588.5
GLI3,6,591.5
UBD,6,600
AC026740.1,6,601.5
AC133065.1,6,602
NID2,6,608
SPIRE2,6,612
AC135782.3,6,612.5
MT-ND5,6,625
TNFRSF17,6,627
RETN,6,631
LINC01727,6,637
PCP2,6,650
SLIT3,6,651.5
AC007342.4,6,665
MT1H,6,666
AC022893.1,6,668.5
ZNF418,6,671
MMP19,6,682.5
ZNF775,6,686
FLJ45513,6,690.5
AC012414.5,6,691
FGB,6,702
DLG2,6,703.5
LIX1-AS1,6,721
MEOX1,6,722
KRTAP5-2,6,727
AC074050.4,6,728
CPB2-AS1,6,729.5
TIMD4,6,739
ARHGEF26,6,744
Z83844.3,6,746.5
AC005329.1,6,747
GOLGA6L10,6,748
CEP170B,6,749
FOXA3,6,751
AC007038.1,6,757
AC080013.6,6,765
NKILA,6,776
AC240565.1,6,789.5
AC139795.3,6,791
KANK2,6,793.5
SYNE4,6,795
TSPAN10,6,796.5
UXT-AS1,6,797.5
FAM153B,6,800.5
CCDC3,6,801.5
Z95115.1,6,807
CELSR3,6,807.5
CRYGS,6,808
CRABP2,6,810
BX649632.1,6,811
TMEM155,6,830
FFAR2,6,836
AL160313.1,6,843.5
HP,6,844
AC092835.1,6,845.5
AC092718.1,6,848.5
MCEMP1,6,850
FZD9,6,854.5
ESM1,6,855.5
KCNIP2,6,856
LGALS4,6,856.5
GTSCR1,6,857
PANO1,6,859.5
CLIP3,6,860.5
AC116158.1,6,867.5
ZFP92,6,869.5
F7,6,870
GLB1L3,6,873
LIM2,6,877.5
RGS7BP,6,883.5
AC106864.1,6,885.5
C9orf116,6,888
AC093690.1,6,890
AC007029.1,6,892.5
LINC02323,6,896.5
APOH,6,899.5
ALDOA,6,904
AC073863.1,6,907
TAS2R30,6,907.5
UBE2C,6,909.5
TPI1,6,910.5
HEY1,6,915
TF,6,918.5
NPR2,6,921
AL049840.1,6,924
AL031708.1,6,924.5
MANEAL,6,929.5
AC008440.1,6,930
LINC02352,6,931.5
OIT3,6,936
TBX20,6,936
TMC3-AS1,6,936
AC055713.1,6,939
NCBP2-AS1,6,941.5
LINC02076,6,942.5
PHKA1,6,942.5
AC008115.1,6,943
AC024940.1,6,946
HIST1H4K,6,951
GRAPL,6,955
FNDC9,6,958.5
AK8,6,959
AC074386.1,6,963.5
NPC2,6,972.5
HIST1H2BB,6,973
FOXD2-AS1,6,973.5
AC008555.1,6,974.5
SRSF12,6,975.5
LEXM,6,976
IL20RB,6,981.5
AL390198.1,6,982.5
AC106886.5,6,983
AC004076.2,6,984.5
AC005775.1,6,985
SALL2,6,986.5
ALPL,6,987
DGCR6,6,989
MDC1-AS1,6,990
GRID2IP,6,991
CCDC144A,6,997.5
UBE2F-SCLY,6,1000
GPRASP2,6,1003.5
AC103563.7,6,1008
AC011773.1,6,1008.5
MANSC1,6,1009
AC048382.6,6,1011
AC134772.1,6,1013
LINC02539,6,1016.5
CHSY3,6,1019
BOK,6,1020
EIF3G,6,1020.5
ARSJ,6,1023
MCMDC2,6,1023.5
CTSZ,6,1028
TBC1D8B,6,1029
AL451074.2,6,1029.5
AL512625.3,6,1029.5
MAMDC4,6,1031.5
FAM218A,6,1032
HCN3,6,1032.5
NTRK2,6,1032.5
AL391244.3,6,1033.5
DYNLRB2,6,1034
AC011773.4,6,1037
STXBP6,6,1042.5
H1FX-AS1,6,1044
CFAP157,6,1045.5
AC008393.1,6,1047
TNXB,6,1047.5
AL109811.1,6,1049
CXADR,6,1049.5
KCNQ3,6,1058
KRT23,6,1061
LINC01825,6,1061.5
GASAL1,6,1062
HSPA12A,6,1062
LLPH-DT,6,1062
C20orf204,6,1065
KSR2,6,1070.5
SH3BGRL2,6,1072
RASL11B,6,1073
OGN,6,1073.5
FERMT2,6,1075
AL020998.1,6,1076
AL354919.1,6,1077
AC245014.3,6,1078
NTNG2,6,1078
CHRNA1,6,1078.5
FCRL5,6,1082.5
EPHX4,6,1083
AC093627.5,6,1087.5
AL139246.3,6,1087.5
ATP5MG,6,1088
MYL12B,6,1088.5
LINC01725,6,1089.5
AC104170.1,6,1090.5
ZNF70,6,1093.5
SLC2A1-AS1,6,1094.5
GPC1,6,1096.5
AC135068.9,6,1097
BRWD1-AS2,6,1098
ZNF774,6,1098
SNHG8,6,1101
DOCK3,6,1102
STAM-AS1,6,1108
ELL3,6,1109.5
GPR19,6,1111.5
JADE3,6,1112
CNTNAP1,6,1112.5
AC005838.2,6,1113.5
AC018630.2,6,1113.5
MSANTD1,6,1113.5
ST3GAL5-AS1,6,1114.5
AC008840.1,6,1116.5
ADM5,6,1119
ZNF252P-AS1,6,1122
ZNF559-ZNF177,6,1125
BEND4,6,1127
PPIL6,6,1128.5
LINC00470,6,1129.5
PAXBP1-AS1,6,1129.5
ITGA3,6,1130
PCBP2,6,1136
AC027702.1,6,1141
CARNS1,6,1141.5
C1QTNF3,6,1150.5
LCN10,6,1151.5
AC024267.4,6,1153.5
POU3F1,6,1166.5
KMT2E,6,1168
AC092490.1,6,1169.5
AMOT,6,1173
AL590708.1,6,1173.5
MELTF,6,1174.5
AL136295.5,6,1175.5
FAM153C,6,1176.5
AC009275.1,6,1178
RANBP17,6,1178
CORO6,6,1182.5
OLFM2,6,1184.5
AP001636.3,6,1187.5
ADCY4,6,1193
LINC02422,6,1194
TTC16,6,1194
ACVR2B,6,1199
KHDRBS2,6,1199.5
RNF43,6,1202
DPY19L2,6,1203
AC016588.2,6,1203.5
TCAP,6,1204
NEFH,6,1205
SYCP3,6,1209.5
AL358472.5,6,1210
GABARAP,6,1210
SLC35G2,6,1210
CCDC62,6,1212
RBM44,6,1214.5
AARD,6,1216
SUMO2,6,1216
HEY2,6,1217
AC073842.2,6,1222
AC098818.2,6,1222
FMO5,6,1222
PLS3,6,1222.5
AC009185.1,6,1225
CYCS,6,1229
BGLAP,6,1230
AC001226.2,6,1231
USP51,6,1233.5
ZC3H12B,6,1233.5
OTOF,6,1234
RBFOX3,6,1236.5
AC114811.2,6,1239.5
ADGRA2,6,1240
HIST1H2BM,6,1240.5
AC112907.3,6,1241
AC104971.3,6,1241.5
COX4I1,6,1243
AC015819.2,6,1244
AC005842.1,6,1245
CTRL,6,1248
LINC00896,6,1253.5
COX6A2,6,1254.5
HCRT,6,1254.5
ANKRD23,6,1255
HOXA10,6,1256.5
AL031848.2,6,1258
HIST1H3E,6,1260.5
AL359182.2,6,1261.5
LARGE1,6,1269
ACVR1C,6,1270.5
BCL7A,6,1271.5
HIST1H4H,6,1272.5
ZNF541,6,1274.5
TNNC2,6,1275.5
UQCR11,6,1276.5
PDZK1,6,1279
RUSC1-AS1,6,1290.5
AC011247.2,6,1291.5
TMOD1,6,1294
VLDLR,6,1294
AC007038.2,6,1294.5
ZNF32-AS1,6,1296.5
ZMYND10,6,1297
DOK4,6,1298
AL360091.3,6,1299
FADS3,6,1300
ABHD1,6,1300.5
BNIPL,6,1301
GPR135,6,1301.5
AL356276.1,6,1305.5
NINL,6,1306
AP001062.1,6,1306.5
NPIPB13,6,1308.5
AC243547.2,6,1309.5
ARVCF,6,1311.5
TRBJ1-5,6,1314.5
NLGN4Y,6,1316
AC006064.2,6,1317
SWAP70,6,1317.5
ZNF30,6,1318
LMCD1,6,1319
LINC00663,6,1320
AC139795.2,6,1321.5
TIGD4,6,1322
WEE2-AS1,6,1326.5
AC008083.2,6,1328.5
CIART,6,1329
KIAA0319,6,1329.5
AL391834.2,6,1331
AC015911.5,6,1338
AC239868.3,6,1340
AC090617.3,6,1342.5
SCIMP,6,1344.5
AC099522.2,6,1346
STYK1,6,1348
SPDYE16,6,1352
DISP3,6,1353
COX6C,6,1354.5
ATP6V0E2-AS1,6,1356.5
PRR7-AS1,6,1359.5
SRCIN1,6,1360
LINC02081,6,1364
HDHD5-AS1,6,1364.5
EVC,6,1367
ABCB4,6,1371
LINC01422,6,1372.5
MRPS30-DT,6,1373
ZNF792,6,1375
AC005332.4,6,1377.5
AL137802.2,6,1377.5
CACNB3,6,1378.5
TRPC1,6,1387
AL157935.2,6,1387.5
GLIPR1L2,6,1390
AC008035.1,6,1391
RASSF1-AS1,6,1391
SLC25A3,6,1393
AL353622.1,6,1394
MYO1E,6,1395.5
AKAP13,6,1397
LIMS2,6,1399
FAM66A,6,1400.5
C11orf65,6,1402
HBEGF,6,1402
COX6A1,6,1403
CCDC154,6,1405
SPNS2,6,1405
CYP2E1,6,1408.5
C12orf42,6,1409.5
CHL1,6,1409.5
CU634019.6,6,1416.5
AC074044.1,6,1417
BBS5,6,1419
AP000802.1,6,1422.5
GALR2,6,1423
SRSF3,6,1424
AC104109.3,6,1426
EPHA1,6,1426
LRRC56,6,1430
RGS17,6,1431
CARMIL3,6,1437
P3H3,6,1439.5
LILRB1,6,1440.5
CA2,6,1443
PDGFRB,6,1444.5
CLIC1,6,1445
LINC02202,6,1446
TBKBP1,6,1447
ASTN2,6,1452.5
PLP2,6,1463.5
FCGRT,6,1467.5
TRBJ2-7,6,1469.5
HCK,6,1470
MOCS1,6,1473
ATP2B1-AS1,6,1473.5
CUBN,6,1474
KIF5A,6,1477
CCDC141,6,1478.5
AC110079.2,6,1481
SYN3,6,1484
RNF32,6,1485
AC007349.3,6,1486.5
AL589843.1,6,1487.5
SPINK2,6,1489.5
GTF3C1,6,1497.5
MFSD4A,6,1497.5
AL451085.1,6,1501
SRP14,6,1501
AC006299.1,6,1502
ZNF630,6,1503
DSEL,6,1506.5
HNRNPUL1,6,1514
MYH11,6,1516.5
LINC01535,6,1518
AL158163.2,6,1518.5
MARCH1,6,1518.5
RHOV,6,1519
CD63,6,1520.5
DNASE1L2,6,1521.5
IRGM,6,1522.5
AC010624.3,6,1524
AC068620.1,6,1526.5
GK5,6,1531
C6orf132,6,1532.5
CDK20,6,1534.5
HLA-F,6,1547
LINC00944,6,1547
POU6F1,6,1550.5
UBAP1L,6,1551
AC017002.3,6,1552
RILPL2,6,1553
LINC01011,6,1558
SNHG22,6,1560
CHST12,6,1562.5
AC097534.2,6,1565
C16orf45,6,1566
POLR2L,6,1567
ARMH1,6,1568.5
TRG-AS1,6,1575.5
AC008735.2,6,1588
AC027682.1,6,1588.5
AC091153.2,6,1591.5
LRRFIP1,6,1591.5
TTC7B,6,1598
ADM,6,1598.5
CORO1B,6,1599.5
AHI1,6,1601
PRKAR2A-AS1,6,1604
NEK11,6,1605
C4orf47,6,1609.5
ZNF563,6,1609.5
SMCHD1,6,1613.5
ZFAS1,6,1616
ARAP2,6,1616.5
SLC16A3,6,1618
DENND2D,6,1619
LCAT,6,1624.5
RGPD6,6,1630.5
U47924.2,6,1633.5
AC073195.1,6,1642
ACTRT3,6,1642.5
FXYD1,6,1644.5
GPCPD1,6,1648
LINC00243,6,1648
CYP3A5,6,1651.5
RAB19,6,1652
IER5,6,1653.5
GLUD1,6,1655.5
MAFF,6,1656.5
KCNK5,6,1657
ACER2,6,1664.5
P2RY8,6,1664.5
ARRDC5,6,1665.5
TNFSF8,6,1666
CXCL16,6,1675.5
RTP5,6,1675.5
ZNF665,6,1680.5
AC104506.1,6,1683.5
CDHR3,6,1688.5
AC008610.1,6,1690
LIME1,6,1692
PWAR6,6,1697
DNAJB4,6,1704.5
TEF,6,1706.5
ZNF280B,6,1708.5
LZTFL1,6,1728.5
ARL5B,6,1732.5
SAMD3,6,1737
ZBTB16,6,1739
PPM1L,6,1745
AL122035.1,6,1754
ALG13,6,1756.5
NCKAP1,6,1758.5
BCO2,6,1762.5
IL17C,6,1766
MRC1,6,1772
GPRIN1,6,1780
NUCB2,6,1800
ZDBF2,6,1808
KCNA3,6,1813.5
AGAP1,6,1820.5
ULBP2,6,1844
AP005482.1,6,1850.5
STX11,6,1865.5
IGHV3-64D,5,125
HDC,5,234
TFPI2,5,303
SPDYE5,5,330
AC087241.3,5,416
HMGCS2,5,440
LYVE1,5,444
RBP4,5,450
CABP4,5,460
CD207,5,465
TESC-AS1,5,467
LINC01229,5,470
AL583722.2,5,492
CRHBP,5,495
AL135905.1,5,523
MYH10,5,539
OCLN,5,541
ZNF112,5,550
ITLN1,5,552
BX323046.1,5,554
GRIN3B,5,560
ZDHHC19,5,566
AC018845.3,5,569
AC113414.1,5,572
AC004839.1,5,575
AL138762.1,5,591
KRT73,5,604
DNAJB5-DT,5,607
DLC1,5,610
AC008549.2,5,611
TRIM2,5,618
GPC2,5,620
LINC00562,5,622
TGFB1I1,5,623
AL136309.2,5,629
LINC00310,5,632
ZNF727,5,633
KLHL14,5,640
CDRT4,5,647
PNMA5,5,647
PRMT5-AS1,5,647
MEIOC,5,654
AC037459.2,5,655
FRRS1,5,660
BACE1-AS,5,661
AL162457.1,5,667
GPR75-ASB3,5,667
SPIC,5,668
CCDC96,5,673
SLC7A4,5,675
ANKRD55,5,678
ACBD7,5,683
AC079171.1,5,685
PPP2R3A,5,686
SPR,5,693
ADH1B,5,695
SLC16A4,5,695
LAMA3,5,696
MTUS1,5,697
NPPC,5,704
AC090515.2,5,709
C15orf62,5,716
AC008280.3,5,720
AP000446.1,5,720
AC137630.3,5,723
AC127070.1,5,725
FALEC,5,725
CACNA1I,5,727
LINC02416,5,730
ZNF804A,5,734
EIF4G2,5,735
LINC02363,5,735
LY6G5B,5,740
FOLR3,5,747
TREM1,5,751
GAS1,5,755
TMEM110-MUSTN1,5,756
AL355581.1,5,761
AC126614.1,5,769
AL512791.2,5,770
ZNF491,5,773
SMIM11B,5,777
FTCD,5,781
UCKL1-AS1,5,785
KIF3C,5,786
C8G,5,787
KCNAB1,5,787
DMRTC1B,5,788
AQP10,5,789
AL606760.3,5,790
KCNH2,5,791
MEIKIN,5,792
C8orf37-AS1,5,793
MATN1,5,801
ATP8A2,5,804
AL359834.1,5,805
TPM3,5,806
SLC6A4,5,807
SLC25A25-AS1,5,809
LINC01685,5,812
NTNG1,5,813
AC010336.1,5,819
AC130343.2,5,819
HAS3,5,820
AC005618.1,5,826
TMEM37,5,826
AP1M2,5,827
C13orf46,5,836
PRSS35,5,837
AL122035.2,5,839
FAM71F2,5,841
PTHLH,5,844
ZDHHC11B,5,844
TMEM244,5,853
AL035413.1,5,855
ENHO,5,857
PCOLCE-AS1,5,859
FAM215A,5,861
FGF18,5,864
KCNH8,5,865
SYT17,5,865
AMH,5,866
TMEM169,5,866
B3GAT1,5,867
AC118553.2,5,868
BEST4,5,868
AMER1,5,870
PNOC,5,871
AL928654.1,5,872
AL138820.1,5,874
AC023024.1,5,878
RBPMS2,5,878
AL121985.1,5,879
MT-ATP8,5,880
SSPN,5,882
AC092119.3,5,883
NTN5,5,885
PKP3,5,886
MRVI1-AS1,5,887
CD163,5,888
PPP4R4,5,894
AL357033.3,5,896
SNX32,5,899
WNT7A,5,901
IGHJ4,5,904
SV2C,5,904
BX322234.1,5,905
AC135068.8,5,906
AC010547.4,5,909
C19orf84,5,909
FBXL19-AS1,5,912
TRPC3,5,914
AC145422.1,5,916
TNKS2-AS1,5,916
AC109446.3,5,917
LINC01126,5,917
UBXN10-AS1,5,918
LINC01013,5,921
AC138356.1,5,922
BAIAP3,5,926
SHISA2,5,927
AC023509.3,5,930
MUC20,5,933
NT5E,5,935
AC092910.3,5,938
CLEC18A,5,938
ZSWIM5,5,938
AC009107.2,5,940
AL138963.1,5,941
HLF,5,941
LINC01281,5,942
AC011511.1,5,945
AC009123.1,5,946
AC108879.1,5,947
AL024507.2,5,947
GPR22,5,949
LRRC6,5,950
AC093835.1,5,954
AC097460.1,5,956
GPR75,5,960
SH2D6,5,960
GREB1,5,962
SEC31B,5,962
CREB3L3,5,963
AC068631.1,5,965
AC095057.2,5,965
AL158835.1,5,966
ZNF221,5,966
AC022167.2,5,968
AC091045.1,5,971
ARG1,5,972
AC011313.1,5,973
ATXN2-AS,5,974
HOXA10-AS,5,974
AC107375.1,5,975
C12orf40,5,977
AC021321.1,5,978
AC069224.1,5,979
PRSS12,5,984
FRMD6,5,985
UTS2B,5,986
LCNL1,5,988
AC099508.1,5,989
AL137145.1,5,989
AL109811.3,5,993
CHADL,5,997
LINC01973,5,997
TAPT1-AS1,5,999
AL121652.1,5,1002
ADGRV1,5,1003
HTR3A,5,1004
NMU,5,1004
AC008758.4,5,1006
C9orf24,5,1007
NAP1L3,5,1008
BCDIN3D-AS1,5,1009
TTC36,5,1009
ZMAT4,5,1013
LEAP2,5,1014
HCG27,5,1015
IL17RB,5,1017
PM20D1,5,1017
CACNA1H,5,1018
AC006116.8,5,1020
OSBP2,5,1022
DIRAS1,5,1024
MEG3,5,1026
AL451060.1,5,1027
HPX,5,1028
DNM3,5,1030
JMJD1C-AS1,5,1030
PCDHGB5,5,1030
USP35,5,1034
AL138831.2,5,1038
AL132780.1,5,1039
HIST2H2AA4,5,1039
AL683813.1,5,1041
SHD,5,1042
IQCD,5,1043
AC015712.1,5,1045
AC072061.1,5,1051
FIRRE,5,1051
CFAP54,5,1052
AC012645.1,5,1053
AL031432.3,5,1061
AL137856.1,5,1066
ZNF233,5,1066
AL135818.2,5,1067
WNT16,5,1067
ZNF793-AS1,5,1067
AL121601.1,5,1068
EEF1A2,5,1070
WNT10B,5,1071
Z98884.1,5,1071
PDGFA,5,1072
U73166.1,5,1074
GALNT8,5,1075
AL590714.1,5,1078
MYO1B,5,1078
AC010273.1,5,1080
AC018742.1,5,1080
KRT18,5,1084
TERC,5,1084
ENKUR,5,1088
PLEKHH2,5,1090
SGCD,5,1092
